genome	og	contig	start	end	strand	identity	coverage
GCA_003977725.1	63103at5125	CM012194.1	1234042	1236295	-	0.9957	1.000
GCA_003977725.1	63492at5125	CM012190.1	1507834	1513361	+	0.9983	1.000
GCA_003977725.1	63495at5125	CM012191.1	1607867	1610478	+	0.9977	1.000
GCA_003977725.1	63745at5125	CM012191.1	1718495	1719118	-	0.9952	1.000
GCA_003977725.1	63761at5125	CM012194.1	1687004	1688572	-	1.0	1.000
GCA_003977725.1	63765at5125	CM012193.1	1633265	1634391	+	0.9971	1.000
GCA_003977725.1	63896at5125	CM012194.1	1407882	1413284	+	0.9955	1.000
GCA_003977725.1	63917at5125	CM012188.1	3245416	3248446	-	0.9989	1.000
GCA_003977725.1	64092at5125	CM012192.1	1480352	1481691	+	0.9976	1.000
GCA_003977725.1	64106at5125	CM012187.1	4723894	4726407	+	0.9988	1.000
GCA_003977725.1	64271at5125	CM012193.1	1898122	1898957	+	0.9962	1.000
GCA_003977725.1	6464at5125	CM012187.1	1725696	1726064	+	1.0	1.000
GCA_003977725.1	64677at5125	CM012194.1	1759920	1761626	-	0.9942	1.000
GCA_003977725.1	64752at5125	CM012190.1	3164355	3165854	+	0.9951	1.000
GCA_003977725.1	65121at5125	CM012189.1	4131307	4132259	-	1.0	1.000
GCA_003977725.1	65274at5125	CM012194.1	1178401	1181568	-	1.0	1.000
GCA_003977725.1	6563at5125	CM012187.1	5159891	5160524	+	1.0	1.000
GCA_003977725.1	65810at5125	CM012188.1	3017529	3024689	-	0.9996	1.000
GCA_003977725.1	66128at5125	CM012192.1	1355204	1356553	+	0.9984	1.000
GCA_003977725.1	66398at5125	CM012188.1	3928427	3930387	-	0.9982	1.000
GCA_003977725.1	66551at5125	CM012194.1	1680233	1682429	+	0.9985	1.000
GCA_003977725.1	66782at5125	CM012190.1	1696690	1697612	+	0.9966	1.000
GCA_003977725.1	66899at5125	CM012190.1	2105656	2106223	-	1.0	1.000
GCA_003977725.1	66960at5125	CM012189.1	3348963	3351500	+	0.9976	1.000
GCA_003977725.1	67164at5125	CM012189.1	3273153	3278882	-	0.9925	1.000
GCA_003977725.1	67190at5125	CM012190.1	3308112	3309936	-	0.9938	1.000
GCA_003977725.1	67210at5125	CM012187.1	1418713	1419907	-	0.9948	1.000
GCA_003977725.1	67232at5125	CM012193.1	1942186	1943421	+	0.9946	1.000
GCA_003977725.1	67240at5125	CM012187.1	2091565	2094929	-	0.9991	1.000
GCA_003977725.1	67275at5125	CM012187.1	1186655	1188726	-	0.9896	1.000
GCA_003977725.1	67291at5125	CM012188.1	630192	632829	-	0.9976	1.000
GCA_003977725.1	67406at5125	CM012187.1	1130986	1135199	-	0.9985	1.000
GCA_003977725.1	67605at5125	CM012187.1	1305373	1306212	-	1.0	1.000
GCA_003977725.1	68189at5125	CM012188.1	1569253	1571142	+	0.9934	1.000
GCA_003977725.1	68698at5125	CM012187.1	2934695	2935855	+	1.0	1.000
GCA_003977725.1	68913at5125	CM012188.1	3665077	3666874	-	1.0	1.000
GCA_003977725.1	68921at5125	CM012190.1	2995986	2997627	+	0.9962	1.000
GCA_003977725.1	69044at5125	CM012189.1	3537572	3540391	-	0.9983	1.000
GCA_003977725.1	69204at5125	CM012191.1	3009417	3010617	-	0.9948	1.000
GCA_003977725.1	69233at5125	CM012192.1	2077346	2078662	+	0.9939	1.000
GCA_003977725.1	69386at5125	CM012187.1	3529145	3530206	+	1.0	1.000
GCA_003977725.1	69391at5125	CM012191.1	3789014	3789662	-	1.0	1.000
GCA_003977725.1	69552at5125	CM012192.1	3013818	3015353	-	0.9902	1.000
GCA_003977725.1	6957at5125	CM012188.1	1039418	1040782	-	1.0	1.000
GCA_003977725.1	70050at5125	CM012193.1	1455124	1456357	+	0.9924	1.000
GCA_003977725.1	70218at5125	CM012187.1	4191715	4192626	-	1.0	1.000
GCA_003977725.1	70418at5125	CM012189.1	3691207	3691668	+	1.0	1.000
GCA_003977725.1	70457at5125	CM012193.1	1347681	1348255	+	0.9952	1.000
GCA_003977725.1	7045at5125	CM012189.1	4220868	4223041	+	0.9995	0.993
GCA_003977725.1	70498at5125	CM012193.1	1607717	1610441	+	0.9966	1.000
GCA_003977725.1	70516at5125	CM012190.1	3269170	3274068	-	0.9963	1.000
GCA_003977725.1	70552at5125	CM012189.1	1633972	1643590	+	0.9893	1.000
GCA_003977725.1	70613at5125	CM012188.1	1523867	1526163	+	0.9837	1.000
GCA_003977725.1	70797at5125	CM012187.1	3503906	3505649	-	0.9982	1.000
GCA_003977725.1	71030at5125	CM012192.1	1879519	1881414	-	0.9984	1.000
GCA_003977725.1	71043at5125	CM012190.1	3121639	3122637	+	1.0	1.000
GCA_003977725.1	71324at5125	CM012193.1	628686	633842	+	0.9971	1.000
GCA_003977725.1	71452at5125	CM012193.1	644505	646437	+	0.9919	1.000
GCA_003977725.1	71475at5125	CM012194.1	1809518	1814677	+	0.9981	1.000
GCA_003977725.1	71779at5125	CM012193.1	876431	886380	-	0.9865	1.000
GCA_003977725.1	72119at5125	CM012190.1	3417841	3419334	+	1.0	1.000
GCA_003977725.1	72371at5125	CM012191.1	1694414	1703223	-	0.9959	1.000
GCA_003977725.1	72413at5125	CM012191.1	2500803	2514852	-	0.9978	1.000
GCA_003977725.1	72609at5125	CM012187.1	4394536	4397150	+	0.9941	1.000
GCA_003977725.1	72719at5125	CM012193.1	1799697	1800838	-	1.0	1.000
GCA_003977725.1	72725at5125	CM012188.1	482577	487249	-	0.9946	1.000
GCA_003977725.1	72837at5125	CM012190.1	2126967	2128903	+	0.9952	1.000
GCA_003977725.1	72947at5125	CM012191.1	2619285	2620694	+	0.9953	1.000
GCA_003977725.1	73333at5125	CM012188.1	3656493	3658938	+	0.9909	1.000
GCA_003977725.1	73549at5125	CM012194.1	2247220	2248070	+	0.9894	1.000
GCA_003977725.1	73701at5125	CM012188.1	4777673	4781201	-	0.9727	1.000
GCA_003977725.1	73781at5125	CM012191.1	1219713	1220475	-	0.9954	1.000
GCA_003977725.1	74061at5125	CM012193.1	1321504	1328535	+	0.9988	1.000
GCA_003977725.1	74166at5125	CM012188.1	3016176	3016964	-	0.9924	1.000
GCA_003977725.1	74509at5125	CM012188.1	1606091	1607699	-	1.0	1.000
GCA_003977725.1	74793at5125	CM012192.1	1425930	1426947	+	0.9966	1.000
GCA_003977725.1	74795at5125	CM012187.1	2992892	2995615	+	0.9974	1.000
GCA_003977725.1	74829at5125	CM012188.1	2602599	2605550	+	1.0	1.000
GCA_003977725.1	74950at5125	CM012194.1	1456511	1462061	-	0.9989	1.000
GCA_003977725.1	7497at5125	CM012191.1	1482558	1484358	-	1.0	1.000
GCA_003977725.1	75182at5125	CM012188.1	1886105	1887384	-	1.0	1.000
GCA_003977725.1	76505at5125	CM012190.1	861030	864232	-	0.9966	1.000
GCA_003977725.1	76616at5125	CM012190.1	868489	869909	+	0.9827	1.000
GCA_003977725.1	76858at5125	CM012187.1	2953920	2954590	-	0.9946	1.000
GCA_003977725.1	77032at5125	CM012190.1	2931197	2932606	+	1.0	1.000
GCA_003977725.1	77314at5125	CM012189.1	3150928	3154813	+	0.9976	1.000
GCA_003977725.1	77340at5125	CM012187.1	2196762	2197804	+	1.0	1.000
GCA_003977725.1	77682at5125	CM012190.1	3815922	3818749	+	0.9967	1.000
GCA_003977725.1	77888at5125	CM012189.1	1613095	1623278	+	0.9951	1.000
GCA_003977725.1	77918at5125	CM012190.1	2169773	2174640	-	0.9957	1.000
GCA_003977725.1	77951at5125	CM012194.1	1411251	1411978	+	1.0	1.000
GCA_003977725.1	7819at5125	CM012187.1	2271840	2272607	+	0.9941	1.000
GCA_003977725.1	78330at5125	CM012187.1	909646	913051	+	0.9981	1.000
GCA_003977725.1	78381at5125	CM012193.1	2799765	2805291	-	0.9843	1.000
GCA_003977725.1	78405at5125	CM012194.1	2783232	2783948	+	1.0	1.000
GCA_003977725.1	78425at5125	CM012188.1	611404	612536	+	0.9942	1.000
GCA_003977725.1	78454at5125	CM012187.1	5763365	5765014	-	0.9981	1.000
GCA_003977725.1	78486at5125	CM012191.1	3204730	3208787	+	0.9985	1.000
GCA_003977725.1	78553at5125	CM012190.1	3121565	3131941	+	0.9938	1.000
GCA_003977725.1	78683at5125	CM012189.1	3810248	3812011	+	0.9919	1.000
GCA_003977725.1	78896at5125	CM012192.1	2361428	2364028	+	0.9965	1.000
GCA_003977725.1	78964at5125	CM012190.1	1991714	1996069	-	0.9944	1.000
GCA_003977725.1	79277at5125	CM012190.1	3361632	3369165	+	0.9978	1.000
GCA_003977725.1	79364at5125	CM012191.1	2186537	2190953	-	0.9983	1.000
GCA_003977725.1	79423at5125	CM012191.1	2499834	2500507	+	1.0	1.000
GCA_003977725.1	79478at5125	CM012187.1	5103018	5105429	+	1.0	1.000
GCA_003977725.1	79488at5125	CM012187.1	3750686	3752822	+	1.0	1.000
GCA_003977725.1	79557at5125	CM012194.1	2167049	2167634	+	1.0	1.000
GCA_003977725.1	79655at5125	CM012191.1	1275427	1284062	-	0.9974	1.000
GCA_003977725.1	79708at5125	CM012188.1	3888184	3889083	-	0.9964	1.000
GCA_003977725.1	79767at5125	CM012187.1	1092005	1094274	-	0.9959	1.000
GCA_003977725.1	79814at5125	CM012187.1	1980128	1981029	-	0.9812	1.000
GCA_003977725.1	79853at5125	CM012190.1	2241412	2243343	-	0.9969	1.000
GCA_003977725.1	79996at5125	CM012190.1	3084691	3089868	-	0.9926	1.000
GCA_003977725.1	80132at5125	CM012194.1	1795982	1796506	-	0.9885	1.000
GCA_003977725.1	80265at5125	CM012187.1	3662690	3664564	+	0.9952	1.000
GCA_003977725.1	80347at5125	CM012189.1	3712451	3714709	-	1.0	1.000
GCA_003977725.1	80487at5125	CM012193.1	1336126	1338114	+	0.9949	1.000
GCA_003977725.1	80840at5125	CM012191.1	2344700	2345233	+	1.0	1.000
GCA_003977725.1	80945at5125	CM012190.1	3751283	3752291	+	1.0	1.000
GCA_003977725.1	81015at5125	CM012191.1	1197314	1198207	-	1.0	1.000
GCA_003977725.1	81022at5125	CM012189.1	1660099	1664109	-	0.9893	1.000
GCA_003977725.1	81061at5125	CM012190.1	1695390	1696246	-	1.0	1.000
GCA_003977725.1	81170at5125	CM012187.1	4973441	4977091	-	0.9951	1.000
GCA_003977725.1	81416at5125	CM012190.1	1616546	1619084	-	0.9981	1.000
GCA_003977725.1	81611at5125	CM012191.1	1004285	1006330	+	0.9941	1.000
GCA_003977725.1	81721at5125	CM012189.1	1351571	1355609	+	0.9945	1.000
GCA_003977725.1	81735at5125	CM012190.1	3652972	3654426	-	0.9957	1.000
GCA_003977725.1	82110at5125	CM012190.1	571944	576307	+	1.0	1.000
GCA_003977725.1	82295at5125	CM012193.1	2549451	2551757	+	0.9863	1.000
GCA_003977725.1	8238at5125	CM012194.1	970553	971082	+	0.9937	1.000
GCA_003977725.1	82463at5125	CM012192.1	2607819	2610980	+	0.9981	1.000
GCA_003977725.1	82577at5125	CM012191.1	1492790	1496960	-	0.9956	1.000
GCA_003977725.1	82852at5125	CM012187.1	1050525	1052357	+	0.9982	1.000
GCA_003977725.1	82854at5125	CM012193.1	2556711	2558455	-	1.0	1.000
GCA_003977725.1	82942at5125	CM012187.1	4282909	4283559	+	0.9907	1.000
GCA_003977725.1	83007at5125	CM012190.1	4303082	4305307	-	0.9907	1.000
GCA_003977725.1	83280at5125	CM012188.1	1526911	1531462	-	0.9967	1.000
GCA_003977725.1	83415at5125	CM012189.1	921447	922463	-	0.9969	1.000
GCA_003977725.1	83427at5125	CM012187.1	4407492	4410093	+	0.9976	1.000
GCA_003977725.1	83530at5125	CM012190.1	3490764	3492003	+	0.9938	1.000
GCA_003977725.1	83590at5125	CM012189.1	3302509	3305243	-	0.992	1.000
GCA_003977725.1	83615at5125	CM012191.1	2014230	2017187	-	0.9979	1.000
GCA_003977725.1	83818at5125	CM012194.1	2310138	2311203	+	0.9822	1.000
GCA_003977725.1	83939at5125	CM012190.1	2069026	2070450	+	0.9968	1.000
GCA_003977725.1	83952at5125	CM012189.1	3428365	3431764	+	0.9913	0.998
GCA_003977725.1	83961at5125	CM012189.1	3885956	3886684	+	1.0	1.000
GCA_003977725.1	84108at5125	CM012192.1	1830875	1832287	+	1.0	1.000
GCA_003977725.1	84420at5125	CM012192.1	3479033	3480315	-	1.0	1.000
GCA_003977725.1	84814at5125	CM012194.1	1510140	1513720	+	1.0	1.000
GCA_003977725.1	85307at5125	CM012194.1	1772611	1774722	+	0.9943	1.000
GCA_003977725.1	85340at5125	CM012190.1	3251585	3252046	+	1.0	1.000
GCA_003977725.1	85382at5125	CM012187.1	1468051	1469383	-	0.9975	1.000
GCA_003977725.1	85513at5125	CM012193.1	1105194	1105755	-	1.0	1.000
GCA_003977725.1	85573at5125	CM012187.1	2537019	2542973	-	0.9979	1.000
GCA_003977725.1	85694at5125	CM012192.1	3395772	3399783	-	0.9984	1.000
GCA_003977725.1	85714at5125	CM012193.1	2099699	2107269	+	0.9988	1.000
GCA_003977725.1	85958at5125	CM012189.1	1526763	1529137	+	0.9957	1.000
GCA_003977725.1	85971at5125	CM012188.1	3518996	3523541	-	0.9987	1.000
GCA_003977725.1	85979at5125	CM012187.1	3554510	3555858	+	0.9977	1.000
GCA_003977725.1	85984at5125	CM012193.1	2074966	2077450	-	0.9988	1.000
GCA_003977725.1	86051at5125	CM012189.1	923876	927098	+	0.9959	1.000
GCA_003977725.1	86087at5125	CM012190.1	1191439	1193168	-	0.9944	1.000
GCA_003977725.1	86374at5125	CM012187.1	1637972	1641711	-	1.0	1.000
GCA_003977725.1	86559at5125	CM012189.1	4503802	4505298	-	0.992	0.994
GCA_003977725.1	86668at5125	CM012194.1	1318707	1319890	+	1.0	1.000
GCA_003977725.1	86761at5125	CM012190.1	3219756	3221643	-	0.9915	1.000
GCA_003977725.1	86770at5125	CM012187.1	3353109	3361978	-	1.0	1.000
GCA_003977725.1	86949at5125	CM012187.1	5485647	5487787	+	0.9957	1.000
GCA_003977725.1	87578at5125	CM012190.1	1753746	1759551	-	0.9926	1.000
GCA_003977725.1	87642at5125	CM012190.1	660330	661931	-	1.0	1.000
GCA_003977725.1	87687at5125	CM012191.1	1461258	1463444	+	0.9974	1.000
GCA_003977725.1	87718at5125	CM012189.1	3930475	3932243	-	0.9967	1.000
GCA_003977725.1	87892at5125	CM012190.1	1462393	1467558	+	0.9982	1.000
GCA_003977725.1	88002at5125	CM012187.1	3563500	3564578	+	1.0	1.000
GCA_003977725.1	88040at5125	CM012191.1	2755563	2758784	+	0.998	1.000
GCA_003977725.1	88294at5125	CM012188.1	4017295	4018475	-	0.9893	1.000
GCA_003977725.1	88557at5125	CM012187.1	4468558	4471387	-	0.9977	1.000
GCA_003977725.1	88773at5125	CM012193.1	2101083	2101616	+	1.0	1.000
GCA_003977725.1	88795at5125	CM012188.1	628404	629834	+	0.9978	1.000
GCA_003977725.1	88809at5125	CM012188.1	2996027	2997018	+	0.9966	1.000
GCA_003977725.1	88833at5125	CM012191.1	1443813	1447388	-	0.9991	1.000
GCA_003977725.1	88938at5125	CM012189.1	1396813	1397414	-	0.9913	1.000
GCA_003977725.1	88977at5125	CM012191.1	2031199	2032734	+	0.9978	1.000
GCA_003977725.1	89075at5125	CM012193.1	2593204	2594123	+	0.9896	1.000
GCA_003977725.1	89742at5125	CM012188.1	3970868	3974633	+	0.9992	1.000
GCA_003977725.1	89990at5125	CM012191.1	1676057	1678131	+	0.9985	1.000
GCA_003977725.1	90032at5125	CM012191.1	1020444	1021635	-	1.0	1.000
GCA_003977725.1	90167at5125	CM012194.1	2117893	2119707	+	1.0	1.000
GCA_003977725.1	90279at5125	CM012193.1	2508020	2509839	-	0.9953	1.000
GCA_003977725.1	90358at5125	CM012191.1	3622125	3622948	+	1.0	1.000
GCA_003977725.1	90405at5125	CM012187.1	2736270	2737865	-	0.9887	1.000
GCA_003977725.1	90675at5125	CM012187.1	1788861	1792386	-	0.9902	1.000
GCA_003977725.1	90769at5125	CM012188.1	2462372	2463140	+	1.0	1.000
GCA_003977725.1	91097at5125	CM012187.1	5362020	5364979	+	0.9968	1.000
GCA_003977725.1	91104at5125	CM012192.1	909660	911161	-	0.9913	1.000
GCA_003977725.1	91138at5125	CM012187.1	1066468	1068802	+	0.9907	1.000
GCA_003977725.1	91167at5125	CM012189.1	3183276	3185398	+	0.9955	1.000
GCA_003977725.1	91178at5125	CM012194.1	956585	958091	+	1.0	1.000
GCA_003977725.1	91187at5125	CM012190.1	4097704	4102414	-	0.9928	1.000
GCA_003977725.1	9118at5125	CM012193.1	1804628	1806616	-	0.9968	1.000
GCA_003977725.1	91191at5125	CM012190.1	3111960	3113445	+	0.9867	1.000
GCA_003977725.1	91215at5125	CM012187.1	765442	765802	+	0.9802	1.000
GCA_003977725.1	91374at5125	CM012192.1	2150955	2151974	-	1.0	1.000
GCA_003977725.1	91532at5125	CM012187.1	4609407	4611046	-	0.9922	1.000
GCA_003977725.1	91640at5125	CM012188.1	1596753	1597860	+	1.0	1.000
GCA_003977725.1	91733at5125	CM012187.1	1962872	1965315	-	0.9987	1.000
GCA_003977725.1	91926at5125	CM012191.1	3176279	3177648	+	1.0	1.000
GCA_003977725.1	92070at5125	CM012190.1	1199857	1201569	+	1.0	1.000
GCA_003977725.1	92364at5125	CM012190.1	2647418	2650327	-	0.9957	1.000
GCA_003977725.1	92482at5125	CM012187.1	2927108	2928788	-	0.9963	1.000
GCA_003977725.1	92516at5125	CM012193.1	575279	576637	+	0.9954	1.000
GCA_003977725.1	92520at5125	CM012190.1	3482743	3484151	+	0.99	1.000
GCA_003977725.1	92661at5125	CM012187.1	1256751	1262833	-	0.9952	1.000
GCA_003977725.1	93067at5125	CM012193.1	2922928	2924131	+	0.9766	1.000
GCA_003977725.1	93089at5125	CM012187.1	4187732	4189119	-	0.9976	1.000
GCA_003977725.1	93093at5125	CM012187.1	3397725	3401006	-	0.9936	1.000
GCA_003977725.1	93172at5125	CM012189.1	4293108	4295597	+	0.9956	1.000
GCA_003977725.1	93590at5125	CM012193.1	2909340	2914353	+	0.9988	1.000
GCA_003977725.1	93668at5125	CM012188.1	1887910	1890969	+	0.9939	1.000
GCA_003977725.1	94166at5125	CM012190.1	2888234	2890775	+	0.9988	1.000
GCA_003977725.1	94224at5125	CM012191.1	2569016	2571323	+	0.9958	1.000
GCA_003977725.1	94482at5125	CM012191.1	2017782	2018264	-	1.0	1.000
GCA_003977725.1	94666at5125	CM012191.1	3332719	3337128	+	1.0	1.000
GCA_003977725.1	94683at5125	CM012187.1	2820257	2821811	+	1.0	1.000
GCA_003977725.1	94851at5125	CM012192.1	2283747	2284194	-	1.0	1.000
GCA_003977725.1	94917at5125	CM012192.1	1035303	1036951	-	0.9936	1.000
GCA_003977725.1	95055at5125	CM012187.1	2156541	2159654	-	0.998	1.000
GCA_003977725.1	95110at5125	CM012190.1	819708	821027	-	0.9932	1.000
GCA_003977725.1	95147at5125	CM012190.1	1590501	1591248	-	1.0	1.000
GCA_003977725.1	95185at5125	CM012190.1	3792598	3793489	+	0.9892	1.000
GCA_003977725.1	95411at5125	CM012189.1	3903733	3904689	+	1.0	1.000
GCA_003977725.1	95427at5125	CM012188.1	3033756	3035714	+	0.9983	1.000
GCA_003977725.1	95447at5125	CM012192.1	506685	516131	-	0.995	1.000
GCA_003977725.1	95574at5125	CM012189.1	4057428	4059551	-	0.9929	1.000
GCA_003977725.1	95759at5125	CM012188.1	3714497	3716871	-	0.996	1.000
GCA_003977725.1	95890at5125	CM012188.1	1780950	1782068	-	0.9973	1.000
GCA_003977725.1	95965at5125	CM012190.1	3108580	3110929	+	1.0	1.000
GCA_003977725.1	95990at5125	CM012187.1	3749486	3750003	-	1.0	1.000
GCA_003977725.1	96009at5125	CM012192.1	3062739	3064142	-	0.9957	1.000
GCA_003977725.1	96036at5125	CM012190.1	1110893	1113226	+	0.9871	0.997
GCA_003977725.1	96050at5125	CM012190.1	3102414	3106819	+	0.9969	1.000
GCA_003977725.1	96059at5125	CM012191.1	3566325	3568299	-	0.9981	1.000
GCA_003977725.1	96196at5125	CM012190.1	773434	774353	+	1.0	1.000
GCA_003977725.1	96220at5125	CM012189.1	1543769	1546971	+	0.9939	1.000
GCA_003977725.1	96359at5125	CM012192.1	1580792	1582632	+	1.0	1.000
GCA_003977725.1	96684at5125	CM012188.1	2421158	2423854	-	0.9952	1.000
GCA_003977725.1	96733at5125	CM012193.1	560749	571162	+	0.9991	1.000
GCA_003977725.1	96764at5125	CM012190.1	1023467	1025725	-	1.0	1.000
GCA_003977725.1	96805at5125	CM012190.1	2464027	2478267	+	0.9967	1.000
GCA_003977725.1	96869at5125	CM012189.1	3190327	3192403	-	0.9985	1.000
GCA_003977725.1	97035at5125	CM012191.1	1649051	1650666	+	0.9962	1.000
GCA_003977725.1	97056at5125	CM012194.1	2340744	2342843	+	0.9974	1.000
GCA_003977725.1	97123at5125	CM012190.1	2152510	2154357	-	0.9981	1.000
GCA_003977725.1	97185at5125	CM012189.1	1034247	1051116	+	1.0	1.000
GCA_003977725.1	97356at5125	CM012189.1	3353444	3356153	-	0.9932	1.000
GCA_003977725.1	97497at5125	CM012190.1	3443867	3444713	-	0.9908	1.000
GCA_003977725.1	97527at5125	CM012188.1	1088970	1091216	-	0.9851	1.000
GCA_003977725.1	97744at5125	CM012193.1	2596861	2598582	-	0.9871	1.000
GCA_003977725.1	97750at5125	CM012188.1	916762	918874	-	1.0	1.000
GCA_003977725.1	97858at5125	CM012187.1	4180731	4181879	-	1.0	1.000
GCA_003977725.1	98063at5125	CM012188.1	2415545	2417666	+	0.9955	1.000
GCA_003977725.1	98133at5125	CM012191.1	3529042	3529674	-	1.0	1.000
GCA_003977725.1	98327at5125	CM012188.1	826931	828812	+	0.9935	1.000
GCA_003977725.1	98559at5125	CM012190.1	3830563	3832003	-	0.9951	1.000
GCA_003977725.1	98617at5125	CM012187.1	1970477	1978026	-	0.987	1.000
GCA_003977725.1	98707at5125	CM012187.1	4820787	4822506	-	1.0	1.000
GCA_003977725.1	98801at5125	CM012192.1	2390136	2392373	+	0.9933	1.000
GCA_003977725.1	98873at5125	CM012194.1	960344	966451	-	0.9965	1.000
GCA_003977725.1	98956at5125	CM012187.1	4397545	4400016	-	1.0	1.000
GCA_003977725.1	99199at5125	CM012188.1	4090074	4095780	-	0.9991	1.000
GCA_003977725.1	99321at5125	CM012190.1	3600576	3601705	-	0.9888	1.000
GCA_003977725.1	99363at5125	CM012190.1	904774	905751	-	0.9968	1.000
GCA_003977725.1	99397at5125	CM012192.1	1130558	1131091	-	0.9944	1.000
GCA_003977725.1	99494at5125	CM012193.1	729946	732108	+	0.9935	1.000
GCA_003977725.1	99497at5125	CM012190.1	3885254	3886173	-	0.9935	1.000
GCA_003977725.1	99767at5125	CM012191.1	3783465	3784270	-	0.99	1.000
GCA_013085055.1	100016at5125	CP052041.1	1106934	1108181	+	0.9975	1.000
GCA_013085055.1	100134at5125	CP052040.1	3895086	3896074	-	1.0	1.000
GCA_013085055.1	100193at5125	CP052038.1	1489529	1492291	+	1.0	1.000
GCA_013085055.1	100369at5125	CP052040.1	1774078	1775608	+	1.0	1.000
GCA_013085055.1	100543at5125	CP052041.1	2289268	2290821	+	1.0	1.000
GCA_013085055.1	100591at5125	CP052040.1	1149539	1153221	-	0.9975	1.000
GCA_013085055.1	100890at5125	CP052040.1	1889389	1891270	+	0.9918	1.000
GCA_013085055.1	100912at5125	CP052045.1	1655542	1661200	-	0.9995	1.000
GCA_013085055.1	100938at5125	CP052040.1	1529685	1546027	+	0.9996	1.000
GCA_013085055.1	101132at5125	CP052045.1	831038	831679	+	0.986	0.767
GCA_013085055.1	101349at5125	CP052040.1	2891205	2891976	+	1.0	1.000
GCA_013085055.1	101458at5125	CP052043.1	3271001	3271820	-	0.9921	1.000
GCA_013085055.1	101626at5125	CP052042.1	3399814	3402570	-	1.0	1.000
GCA_013085055.1	101923at5125	CP052039.1	4800556	4801673	+	1.0	1.000
GCA_013085055.1	10195at5125	CP052038.1	2180317	2183954	-	1.0	1.000
GCA_013085055.1	102187at5125	CP052042.1	2568608	2569973	+	1.0	1.000
GCA_013085055.1	102371at5125	CP052039.1	1587122	1589784	+	0.9987	1.000
GCA_013085055.1	102376at5125	CP052040.1	1967510	1968293	-	1.0	1.000
GCA_013085055.1	102380at5125	CP052043.1	1873885	1883919	+	0.9991	1.000
GCA_013085055.1	102469at5125	CP052042.1	3490983	3493739	-	0.9977	1.000
GCA_013085055.1	102495at5125	CP052040.1	3479258	3480470	+	0.9991	1.000
GCA_013085055.1	102712at5125	CP052039.1	1188158	1190922	+	0.9989	1.000
GCA_013085055.1	102973at5125	CP052040.1	1244965	1245858	-	0.9966	1.000
GCA_013085055.1	102991at5125	CP052041.1	3717515	3722824	+	0.9994	1.000
GCA_013085055.1	102999at5125	CP052038.1	4646292	4648631	-	1.0	1.000
GCA_013085055.1	103079at5125	CP052046.1	2508593	2510447	+	1.0	1.000
GCA_013085055.1	103246at5125	CP052039.1	4237797	4247640	+	0.9996	1.000
GCA_013085055.1	103334at5125	CP052041.1	65483	67115	-	0.9844	1.000
GCA_013085055.1	103389at5125	CP052043.1	1053033	1056172	-	1.0	1.000
GCA_013085055.1	103464at5125	CP052038.1	4036458	4037427	+	1.0	1.000
GCA_013085055.1	103501at5125	CP052038.1	1985728	1986091	+	1.0	1.000
GCA_013085055.1	103560at5125	CP052041.1	540300	541484	-	1.0	1.000
GCA_013085055.1	103732at5125	CP052039.1	1044207	1044755	+	1.0	1.000
GCA_013085055.1	103841at5125	CP052038.1	2828425	2829933	+	1.0	1.000
GCA_013085055.1	103916at5125	CP052043.1	1435843	1437106	-	0.9934	1.000
GCA_013085055.1	104084at5125	CP052041.1	1564484	1566499	-	1.0	1.000
GCA_013085055.1	104111at5125	CP052042.1	3616817	3617647	-	0.9948	1.000
GCA_013085055.1	104173at5125	CP052040.1	3810285	3812670	-	0.9983	1.000
GCA_013085055.1	104238at5125	CP052042.1	2348242	2350329	-	0.9971	1.000
GCA_013085055.1	104262at5125	CP052043.1	1240858	1241532	+	1.0	1.000
GCA_013085055.1	104269at5125	CP052041.1	1709173	1714869	-	0.9989	1.000
GCA_013085055.1	104327at5125	CP052042.1	2201426	2205082	+	0.9975	1.000
GCA_013085055.1	104466at5125	CP052038.1	3856792	3858900	-	1.0	1.000
GCA_013085055.1	104538at5125	CP052038.1	3600028	3602727	+	0.9989	1.000
GCA_013085055.1	104742at5125	CP052045.1	1306239	1307314	+	1.0	1.000
GCA_013085055.1	104766at5125	CP052038.1	5632001	5634594	+	0.995	1.000
GCA_013085055.1	104768at5125	CP052040.1	4239509	4241157	+	0.9981	1.000
GCA_013085055.1	104968at5125	CP052042.1	1628736	1629525	-	1.0	1.000
GCA_013085055.1	105138at5125	CP052042.1	1092043	1093233	+	0.9975	1.000
GCA_013085055.1	105180at5125	CP052045.1	1509942	1513074	+	0.999	1.000
GCA_013085055.1	105225at5125	CP052040.1	3359459	3361240	+	0.9966	1.000
GCA_013085055.1	105299at5125	CP052038.1	2770525	2774080	+	0.9974	1.000
GCA_013085055.1	105394at5125	CP052043.1	1933680	1937815	+	0.9958	1.000
GCA_013085055.1	105489at5125	CP052043.1	1239761	1240580	-	1.0	1.000
GCA_013085055.1	105530at5125	CP052043.1	2342166	2345504	-	1.0	1.000
GCA_013085055.1	105580at5125	CP052046.1	1128596	1130272	-	0.9982	1.000
GCA_013085055.1	105614at5125	CP052038.1	2077521	2078480	-	1.0	1.000
GCA_013085055.1	105654at5125	CP052043.1	1648035	1648542	-	1.0	1.000
GCA_013085055.1	105695at5125	CP052040.1	1697836	1712130	-	1.0	1.000
GCA_013085055.1	10572at5125	CP052045.1	1780824	1781522	+	0.9914	1.000
