Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Organism Infraspecific Names Isolate	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Isolate	Assembly BioSample Host	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly Level	Assembly Sequencing Tech	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50
GCA_011034395.1	Fusarium oxysporum	EtdFoc-248		SAMN07711072	EtdFoc-248		Cicer arietinum	Ethiopia: Sidamo	2015	Scaffold	Illumina	50545352	2581	54442
GCA_011034415.1	Fusarium oxysporum	EtdFoc-247		SAMN07711071	EtdFoc-247		Cicer arietinum	Ethiopia: Cholo	2015	Scaffold	Illumina	62308646	7936	14794
GCA_011034445.1	Fusarium oxysporum	EtdFoc-245		SAMN07711070	EtdFoc-245		Cicer arietinum	Ethiopia: Kela	2015	Scaffold	Illumina	53843651	3640	59881
GCA_011034455.1	Fusarium oxysporum	EtdFoc-237		SAMN07711066	EtdFoc-237		Cicer arietinum	Ethiopia: Jabi	2015	Scaffold	Illumina	50456370	23799	3100
GCA_011034475.1	Fusarium oxysporum	EtdFoc-30		SAMN07711084	EtdFoc-30		Cicer arietinum	Ethiopia: Atebela	2015	Scaffold	Illumina	52223542	1986	216331
GCA_011034485.1	Fusarium oxysporum	EtdFoc-258		SAMN07711077	EtdFoc-258		Cicer arietinum	Ethiopia: Muhubal	2015	Scaffold	Illumina	51377707	1851	170661
GCA_011034515.1	Fusarium oxysporum	EtdFoc-256		SAMN07711076	EtdFoc-256		Cicer arietinum	Ethiopia: Hodokotiyo	2015	Scaffold	Illumina	53712057	3134	61572
GCA_011034545.1	Fusarium oxysporum	EtdFoc-253		SAMN07711075	EtdFoc-253		Cicer arietinum	Ethiopia: Multialibo	2015	Scaffold	Illumina	50242981	15858	4919
GCA_011034565.1	Fusarium oxysporum	EtdFoc-259		SAMN07711078	EtdFoc-259		Cicer arietinum	Ethiopia: Adeqemaleh	2015	Scaffold	Illumina	53069360	2497	121700
GCA_011034575.1	Fusarium oxysporum	EtdFoc-25		SAMN07711073	EtdFoc-25		Cicer arietinum	Ethiopia: Geteta	2015	Scaffold	Illumina	45963372	30119	2092
GCA_011034615.1	Fusarium oxysporum	EtdFoc-49		SAMN07711096	EtdFoc-49		Cicer arietinum	Ethiopia: Hachura	2015	Scaffold	Illumina	52393367	3944	25292
GCA_011034625.1	Fusarium oxysporum	EtdFoc-46		SAMN07711093	EtdFoc-46		Cicer arietinum	Ethiopia: Gidobodetti	2015	Scaffold	Illumina	53137715	2639	103009
GCA_011034635.1	Fusarium oxysporum	EtdFoc-48		SAMN07711095	EtdFoc-48		Cicer arietinum	Ethiopia: Gurmakosha	2015	Scaffold	Illumina	54514331	3082	132272
GCA_011034645.1	Fusarium oxysporum	EtdFoc-5		SAMN07711097	EtdFoc-5		Cicer arietinum	Ethiopia: Metokema	2015	Scaffold	Illumina	52200403	2357	57782
GCA_011034655.1	Fusarium oxysporum	EtdFoc-4		SAMN07711090	EtdFoc-4		Cicer arietinum	Ethiopia: Sonbe	2015	Scaffold	Illumina	52335488	15328	5320
GCA_011034675.1	Fusarium oxysporum	EtdFoc-39		SAMN07711089	EtdFoc-39		Cicer arietinum	Ethiopia: Kora	2015	Scaffold	Illumina	51693982	1442	322668
GCA_011034745.1	Fusarium oxysporum	EtdFoc-34		SAMN07711085	EtdFoc-34		Cicer arietinum	Ethiopia: Jebdu	2015	Scaffold	Illumina	51933313	18820	4161
GCA_011034775.1	Fusarium oxysporum	EtdFoc-8		SAMN07711116	EtdFoc-8		Cicer arietinum	Ethiopia: Guta Woliso	2015	Scaffold	Illumina	52620209	2146	124764
GCA_011034785.1	Fusarium oxysporum	EtdFoc-72		SAMN07711111	EtdFoc-72		Cicer arietinum	Ethiopia: Adoch	2015	Scaffold	Illumina	53923682	5211	49410
GCA_011034805.1	Fusarium oxysporum	EtdFoc-79		SAMN07711115	EtdFoc-79		Cicer arietinum	Ethiopia: Guhal	2015	Scaffold	Illumina	53155723	2901	465748
GCA_011034815.1	Fusarium oxysporum	EtdFoc-7		SAMN07711110	EtdFoc-7		Cicer arietinum	Ethiopia: Agello	2015	Scaffold	Illumina	52768052	3969	33055
GCA_011034845.1	Fusarium oxysporum	EtdFoc-61		SAMN07711104	EtdFoc-61		Cicer arietinum	Ethiopia: Kobo	2015	Scaffold	Illumina	52470836	3876	44444
GCA_011034875.1	Fusarium oxysporum	EtdFoc-52		SAMN07711099	EtdFoc-52		Cicer arietinum	Ethiopia: Fikadu	2015	Scaffold	Illumina	53547926	8197	11177
GCA_011034915.1	Fusarium oxysporum	EtdFoc-55		SAMN07711101	EtdFoc-55		Cicer arietinum	Ethiopia: Doyokora	2015	Scaffold	Illumina	54817118	3475	100559
GCA_011034925.1	Fusarium oxysporum	EtdFoc-87		SAMN07711121	EtdFoc-87		Cicer arietinum	Ethiopia: Jiwacha Awura	2015	Scaffold	Illumina	52853434	2224	114118
GCA_011034935.1	Fusarium oxysporum	EtdFoc-88		SAMN07711122	EtdFoc-88		Cicer arietinum	Ethiopia: Golashkan	2015	Scaffold	Illumina	52767621	2050	248131
GCA_011034945.1	Fusarium oxysporum	EtdFoc-92		SAMN07711125	EtdFoc-92		Cicer arietinum	Ethiopia: Wengie Barekegn	2015	Scaffold	Illumina	59293504	12416	7694
GCA_011034965.1	Fusarium oxysporum	EtdFoc-69		SAMN07711109	EtdFoc-69		Cicer arietinum	Ethiopia: Debre Selam	2015	Scaffold	Illumina	51124328	23306	3196
GCA_011035015.1	Fusarium oxysporum	EtdFoc-86		SAMN07711120	EtdFoc-86		Cicer arietinum	Ethiopia: Aku K/Mihret	2015	Scaffold	Illumina	53721909	6348	15761
GCA_011035035.1	Fusarium oxysporum	EthFoc-101		SAMN07710849	EthFoc-101		Cicer arietinum	Ethiopia: Jangua	2014	Scaffold	Illumina	52817521	2009	181217
GCA_011035045.1	Fusarium oxysporum	EthFoc-111		SAMN07710854	EthFoc-111		Cicer arietinum	Ethiopia: Jeja-bahir	2014	Scaffold	Illumina	52665804	1795	275746
GCA_011035055.1	Fusarium oxysporum	EthFoc-11		SAMN07710853	EthFoc-11		Cicer arietinum	Ethiopia: Samasenbet	2014	Scaffold	Illumina	52453353	1655	285371
GCA_011035065.1	Fusarium oxysporum	EthFoc-106		SAMN07710852	EthFoc-106		Cicer arietinum	Ethiopia: Azero	2014	Scaffold	Illumina	51827087	2239	77276
GCA_011035075.1	Fusarium oxysporum	EthFoc-102		SAMN07710850	EthFoc-102		Cicer arietinum	Ethiopia: Meskelekiristos	2014	Scaffold	Illumina	53366981	3252	45959
GCA_011035135.1	Fusarium oxysporum	EthFoc-10		SAMN07710847	EthFoc-10		Cicer arietinum	Ethiopia: Shewagenet	2014	Scaffold	Illumina	53092179	14540	5872
GCA_011035185.1	Fusarium oxysporum	EtdFoc-99		SAMN07711130	EtdFoc-99		Cicer arietinum	Ethiopia: Ambelta	2015	Scaffold	Illumina	52160747	17132	4604
GCA_011035205.1	Fusarium oxysporum	EtdFoc-75		SAMN07711113	EtdFoc-75		Cicer arietinum	Ethiopia: Gebeba	2015	Scaffold	Illumina	53989766	34349	2212
GCA_011035235.1	Fusarium oxysporum	EthFoc-135		SAMN07710872	EthFoc-135		Cicer arietinum	Ethiopia: Ashreba	2014	Scaffold	Illumina	51909731	2783	60662
GCA_011035245.1	Fusarium oxysporum	EthFoc-131		SAMN07710870	EthFoc-131		Cicer arietinum	Ethiopia: Kolemshash	2014	Scaffold	Illumina	51124906	1699	158258
GCA_011035255.1	Fusarium oxysporum	EthFoc-136		SAMN07710873	EthFoc-136		Cicer arietinum	Ethiopia: Kuamicherk	2014	Scaffold	Illumina	52600677	1657	356274
GCA_011035265.1	Fusarium oxysporum	EthFoc-130		SAMN07710869	EthFoc-130		Cicer arietinum	Ethiopia: Ginb	2014	Scaffold	Illumina	51259128	1525	152226
GCA_011035335.1	Fusarium oxysporum	EthFoc-127		SAMN07710866	EthFoc-127		Cicer arietinum	Ethiopia: Wencher	2014	Scaffold	Illumina	52167724	1824	201867
GCA_011035345.1	Fusarium oxysporum	EthFoc-125		SAMN07710864	EthFoc-125		Cicer arietinum	Ethiopia: Adet Research Station	2014	Scaffold	Illumina	52781500	2245	132313
GCA_011035355.1	Fusarium oxysporum	EthFoc-122		SAMN07710862	EthFoc-122		Cicer arietinum	Ethiopia: Amari	2014	Scaffold	Illumina	57430924	9937	18305
GCA_011035375.1	Fusarium oxysporum	EthFoc-120		SAMN07710861	EthFoc-120		Cicer arietinum	Ethiopia: Alember-weltem	2014	Scaffold	Illumina	52436722	1854	171008
GCA_011035385.1	Fusarium oxysporum	EthFoc-129		SAMN07710867	EthFoc-129		Cicer arietinum	Ethiopia: Mentadefir	2014	Scaffold	Illumina	52330044	2059	150155
GCA_011035415.1	Fusarium oxysporum	EthFoc-12		SAMN07710860	EthFoc-12		Cicer arietinum	Ethiopia: Samasenbet	2014	Scaffold	Illumina	52844594	2592	112865
GCA_011035435.1	Fusarium oxysporum	EthFoc-124		SAMN07710863	EthFoc-124		Cicer arietinum	Ethiopia: Yilmanadensa	2014	Scaffold	Illumina	52001598	1785	215588
GCA_011035455.1	Fusarium oxysporum	EthFoc-119		SAMN07710859	EthFoc-119		Cicer arietinum	Ethiopia: Sinko-gazoch	2014	Scaffold	Illumina	49159102	911	251509
GCA_011035485.1	Fusarium oxysporum	EthFoc-118		SAMN07710858	EthFoc-118		Cicer arietinum	Ethiopia: Weji-dewel	2014	Scaffold	Illumina	53391331	2038	179635
GCA_011035495.1	Fusarium oxysporum	EthFoc-113		SAMN07710855	EthFoc-113		Cicer arietinum	Ethiopia: Geneza Sikisa	2014	Scaffold	Illumina	51806632	1735	205832
GCA_011035505.1	Fusarium oxysporum	EthFoc-116		SAMN07710857	EthFoc-116		Cicer arietinum	Ethiopia: Denger	2014	Scaffold	Illumina	59968115	8545	27196
GCA_011035555.1	Fusarium oxysporum	EthFoc-144		SAMN07710880	EthFoc-144		Cicer arietinum	Ethiopia: Yetimbnayeres	2014	Scaffold	Illumina	58572818	13374	9032
GCA_011035595.1	Fusarium oxysporum	EthFoc-146		SAMN07710882	EthFoc-146		Cicer arietinum	Ethiopia: Mahibere Birhan	2014	Scaffold	Illumina	49551688	19296	4061
GCA_011035615.1	Fusarium oxysporum	EthFoc-16		SAMN07710891	EthFoc-16		Cicer arietinum	Ethiopia: Udae	2014	Scaffold	Illumina	52545525	2212	178998
GCA_011035625.1	Fusarium oxysporum	EthFoc-148		SAMN07710884	EthFoc-148		Cicer arietinum	Ethiopia: Zemet	2014	Contig	Illumina	54955746	5198	50704
GCA_011035645.1	Fusarium oxysporum	EthFoc-139		SAMN07710875	EthFoc-139		Cicer arietinum	Ethiopia: Kitar Badima	2014	Scaffold	Illumina	46061793	27777	2386
GCA_011035665.1	Fusarium oxysporum	EthFoc-138		SAMN07710874	EthFoc-138		Cicer arietinum	Ethiopia: Ligatam	2014	Scaffold	Illumina	40315034	31486	1715
GCA_011035695.1	Fusarium oxysporum	EthFoc-158		SAMN07710889	EthFoc-158		Cicer arietinum	Ethiopia: Mechlenawertu	2014	Scaffold	Illumina	51058237	31273	2336
GCA_011035725.1	Fusarium oxysporum	EthFoc-159		SAMN07710890	EthFoc-159		Cicer arietinum	Ethiopia: Kimoye	2014	Contig	Illumina	41493791	34674	1572
GCA_011035745.1	Fusarium oxysporum	EthFoc-2		SAMN07710900	EthFoc-2		Cicer arietinum	Ethiopia: Tulurea	2014	Scaffold	Illumina	52174060	1351	294189
GCA_011035755.1	Fusarium oxysporum	EthFoc-21		SAMN07710902	EthFoc-21		Cicer arietinum	Ethiopia: Keteba	2014	Scaffold	Illumina	53060685	1856	191690
GCA_011035765.1	Fusarium oxysporum	EthFoc-18		SAMN07710899	EthFoc-18		Cicer arietinum	Ethiopia: Tedecha-ena Yatu	2014	Scaffold	Illumina	54035999	21755	3772
GCA_011035785.1	Fusarium oxysporum	EthFoc-167		SAMN07710895	EthFoc-167		Cicer arietinum	Ethiopia: Awashbole	2014	Scaffold	Illumina	49824983	22147	3462
GCA_011035835.1	Fusarium oxysporum	EthFoc-25		SAMN07710905	EthFoc-25		Cicer arietinum	Ethiopia: Lemlemchefe	2014	Scaffold	Illumina	53630826	2540	181849
GCA_011035855.1	Fusarium oxysporum	EthFoc-27		SAMN07710908	EthFoc-27		Cicer arietinum	Ethiopia: Adadigole	2014	Scaffold	Illumina	54416715	5947	39290
GCA_011035875.1	Fusarium oxysporum	EthFoc-20		SAMN07710901	EthFoc-20		Cicer arietinum	Ethiopia: Godino	2014	Scaffold	Illumina	50496538	20240	3825
GCA_011035895.1	Fusarium oxysporum	EthFoc-165		SAMN07710893	EthFoc-165		Cicer arietinum	Ethiopia: Werka-wereso	2014	Scaffold	Illumina	40391531	36744	1407
GCA_011035955.1	Fusarium oxysporum	EthFoc-3		SAMN07710911	EthFoc-3		Cicer arietinum	Ethiopia: Dekebora	2014	Scaffold	Illumina	52738587	2425	189485
GCA_011035965.1	Fusarium oxysporum	EthFoc-36		SAMN07710915	EthFoc-36		Cicer arietinum	Ethiopia: Soyema	2014	Scaffold	Illumina	51903197	1383	407136
GCA_011035975.1	Fusarium oxysporum	EthFoc-29		SAMN07710910	EthFoc-29		Cicer arietinum	Ethiopia: Tefki	2014	Scaffold	Illumina	52989774	17498	4637
GCA_011035995.1	Fusarium oxysporum	EthFoc-28		SAMN07710909	EthFoc-28		Cicer arietinum	Ethiopia: Harojilo Fulaso	2014	Scaffold	Illumina	51852937	18222	4515
GCA_011036045.1	Fusarium oxysporum	EthFoc-42		SAMN07710921	EthFoc-42		Cicer arietinum	Ethiopia: Jihur	2014	Scaffold	Illumina	53629309	2505	147894
GCA_011036055.1	Fusarium oxysporum	EthFoc-44		SAMN07710923	EthFoc-44		Cicer arietinum	Ethiopia: yeshum	2014	Scaffold	Illumina	52260275	1581	216159
GCA_011036065.1	Fusarium oxysporum	EthFoc-48		SAMN07710925	EthFoc-48		Cicer arietinum	Ethiopia: Robit	2014	Scaffold	Illumina	53131083	2691	97163
GCA_011036075.1	Fusarium oxysporum	EthFoc-43		SAMN07710922	EthFoc-43		Cicer arietinum	Ethiopia: Chefa Substation	2014	Scaffold	Illumina	53175428	3414	44553
GCA_011036115.1	Fusarium oxysporum	EthFoc-41		SAMN07710920	EthFoc-41		Cicer arietinum	Ethiopia: Weyraamba	2014	Scaffold	Illumina	52195659	1862	147561
GCA_011036125.1	Fusarium oxysporum	EthFoc-40		SAMN07710919	EthFoc-40		Cicer arietinum	Ethiopia: Weyraamba	2014	Scaffold	Illumina	51582286	1520	138359
GCA_011036135.1	Fusarium oxysporum	EthFoc-4		SAMN07710918	EthFoc-4		Cicer arietinum	Ethiopia: Tiltigerbi	2014	Scaffold	Illumina	53199733	2155	233777
GCA_011036205.1	Fusarium oxysporum	EthFoc-7		SAMN07710936	EthFoc-7		Cicer arietinum	Ethiopia: Mitikora	2014	Scaffold	Illumina	55355858	2213	188664
GCA_011036215.1	Fusarium oxysporum	EthFoc-75		SAMN07710938	EthFoc-75		Cicer arietinum	Ethiopia: Goraewel	2014	Scaffold	Illumina	53615548	2062	212564
GCA_011036235.1	Fusarium oxysporum	EthFoc-61		SAMN07710932	EthFoc-61		Cicer arietinum	Ethiopia: Gedober	2014	Scaffold	Illumina	52471214	2111	99181
GCA_011036275.1	Fusarium oxysporum	EthFoc-52		SAMN07710928	EthFoc-52		Cicer arietinum	Ethiopia: Aloma	2014	Scaffold	Illumina	52284697	1731	122558
GCA_011036305.1	Fusarium oxysporum	EthFoc-49		SAMN07710926	EthFoc-49		Cicer arietinum	Ethiopia: Jelisa	2014	Scaffold	Illumina	53601383	9164	10124
GCA_011036325.1	Fusarium oxysporum	EthFoc-45		SAMN07710924	EthFoc-45		Cicer arietinum	Ethiopia: Chuli	2014	Scaffold	Illumina	46255317	31534	2023
GCA_011036345.1	Fusarium oxysporum	EthFoc-36a		SAMN07710916	EthFoc-36a		Cicer arietinum	Ethiopia: Soyema	2014	Scaffold	Illumina	44968683	33986	1785
GCA_011036365.1	Fusarium oxysporum	EthFoc-93		SAMN07710949	EthFoc-93		Cicer arietinum	Ethiopia: Adhano	2014	Scaffold	Illumina	52410926	10287	9002
GCA_011036385.1	Fusarium oxysporum	EthFoc-95		SAMN07710950	EthFoc-95		Cicer arietinum	Ethiopia: Advarey	2014	Scaffold	Illumina	51825621	2091	138209
GCA_011036395.1	Fusarium oxysporum	EthFoc-90		SAMN07710948	EthFoc-90		Cicer arietinum	Ethiopia: Mytimket	2014	Scaffold	Illumina	54285402	2241	273806
GCA_011036425.1	Fusarium oxysporum	EthFoc-88		SAMN07710947	EthFoc-88		Cicer arietinum	Ethiopia: Beles	2014	Scaffold	Illumina	52629318	8070	11623
GCA_011036455.1	Fusarium oxysporum	EthFoc-84		SAMN07710945	EthFoc-84		Cicer arietinum	Ethiopia: Medegoy	2014	Scaffold	Illumina	53131465	2093	233022
GCA_011036475.1	Fusarium oxysporum	EthFoc-83		SAMN07710944	EthFoc-83		Cicer arietinum	Ethiopia: Medegoy	2014	Scaffold	Illumina	53014533	1946	225184
GCA_011036505.1	Fusarium oxysporum	EthFoc-81		SAMN07710942	EthFoc-81		Cicer arietinum	Ethiopia: Endayesus	2014	Scaffold	Illumina	55482964	3102	114180
GCA_011036545.1	Fusarium oxysporum	EthFoc-78		SAMN07710940	EthFoc-78		Cicer arietinum	Ethiopia: Kushet	2014	Scaffold	Illumina	51615397	1893	97428
GCA_011036575.1	Fusarium oxysporum	EthFoc-DSP12		SAMN07710955	EthFoc-DSP12		Cicer arietinum	Ethiopia: DZARC	2014	Scaffold	Illumina	52871178	8315	11834
GCA_011036595.1	Fusarium oxysporum	EthFoc-99		SAMN07710952	EthFoc-99		Cicer arietinum	Ethiopia: Chilo	2014	Scaffold	Illumina	53282346	3208	105397
GCA_011036615.1	Fusarium oxysporum	EthFoc-98		SAMN07710951	EthFoc-98		Cicer arietinum	Ethiopia: Girarye	2014	Scaffold	Illumina	49945523	20749	3733
GCA_011036635.1	Fusarium oxysporum	EthFoc-57		SAMN07710931	EthFoc-57		Cicer arietinum	Ethiopia: Bedeno	2014	Scaffold	Illumina	40031627	38598	1277
GCA_011036655.1	Fusarium oxysporum	EthFoc-DSP2		SAMN07710958	EthFoc-DSP2		Cicer arietinum	Ethiopia: DZARC	2014	Scaffold	Illumina	51832454	23324	3270
GCA_011036705.1	Fusarium oxysporum	EthFoc-35		SAMN07710914	EthFoc-35		Cicer arietinum	Ethiopia: Soyema Genji	2014	Scaffold	Illumina	54638491	2289	177700
GCA_011036765.1	Fusarium oxysporum	EtdFoc-47		SAMN07711094	EtdFoc-47		Cicer arietinum	Ethiopia: Gurmoweyidie	2015	Scaffold	Illumina	52071680	3839	30468
GCA_011036795.1	Fusarium oxysporum	EtdFoc-6		SAMN07711103	EtdFoc-6		Cicer arietinum	Ethiopia: Gandechela	2015	Scaffold	Illumina	57532171	4397	212302
GCA_011036835.1	Fusarium oxysporum	EtdFoc-94		SAMN07711127	EtdFoc-94		Cicer arietinum	Ethiopia: Yekuas	2015	Scaffold	Illumina	53109346	10129	8628
GCA_011036855.1	Fusarium oxysporum	EthFoc-126		SAMN07710865	EthFoc-126		Cicer arietinum	Ethiopia: Ambatna	2014	Scaffold	Illumina	52175403	1644	259346
GCA_011036875.1	Fusarium oxysporum	EthFoc-13		SAMN07710868	EthFoc-13		Cicer arietinum	Ethiopia: Bosoke	2014	Scaffold	Illumina	53211441	2161	251572
GCA_011036925.1	Fusarium oxysporum	EthFoc-30		SAMN07710912	EthFoc-30		Cicer arietinum	Ethiopia: Awashbolo	2014	Scaffold	Illumina	58152970	7662	40407
GCA_011036945.1	Fusarium oxysporum	EthFoc-34		SAMN07710913	EthFoc-34		Cicer arietinum	Ethiopia: Batutirecha	2014	Scaffold	Illumina	54410155	2113	249787
GCA_011036965.1	Fusarium oxysporum	EthFoc-173		SAMN07710898	EthFoc-173		Cicer arietinum	Ethiopia: Gosu-kora	2014	Scaffold	Illumina	40138469	33795	1556
GCA_011036985.1	Fusarium oxysporum	EthFoc-DSP6		SAMN07710962	EthFoc-DSP6		Cicer arietinum	Ethiopia: DZARC sick plot	2014	Scaffold	Illumina	38213843	35866	1344
GCA_011037005.1	Fusarium oxysporum	EthFoc-168		SAMN07710896	EthFoc-168		Cicer arietinum	Ethiopia: Beyo	2014	Scaffold	Illumina	38875668	34437	1473
GCA_011037075.1	Fusarium oxysporum	EthFoc-142		SAMN07710878	EthFoc-142		Cicer arietinum	Ethiopia: Talima	2014	Scaffold	Illumina	38438723	36110	1355
GCA_011037105.1	Fusarium oxysporum	EthFoc-152		SAMN07710886	EthFoc-152		Cicer arietinum	Ethiopia: Lenchoborsu	2014	Scaffold	Illumina	38092127	35124	1398
GCA_011037135.1	Fusarium oxysporum	EtdFoc-81		SAMN07711118	EtdFoc-81		Cicer arietinum	Ethiopia: Deserek	2015	Scaffold	Illumina	64438433	6386	20544
GCA_011037735.1	Fusarium oxysporum	EthFoc-DSP9		SAMN07710964	EthFoc-DSP9		Cicer arietinum	Ethiopia: DZARC	2014	Scaffold	Illumina	49048211	27840	2585
GCA_011037795.1	Fusarium oxysporum	EthFoc-56		SAMN07710930	EthFoc-56		Cicer arietinum	Ethiopia: Bedeno	2014	Scaffold	Illumina	52050715	2094	93782
GCA_011421275.1	Fusarium oxysporum	EtdFoc-3		SAMN07711083	EtdFoc-3		Cicer arietinum	Ethiopia: Gobe Chala	2015	Scaffold	Illumina	58123106	1782	202054
GCA_011421285.1	Fusarium oxysporum	EtdFoc-85		SAMN07711119	EtdFoc-85		Cicer arietinum	Ethiopia: Admina	2015	Scaffold	Illumina	59501895	5271	31783
GCA_011421305.1	Fusarium oxysporum	EtdFoc-220		SAMN07711056	EtdFoc-220		Cicer arietinum	Ethiopia: Badewachi	2015	Scaffold	Illumina	57973890	5914	27336
GCA_011421335.1	Fusarium oxysporum	EtdFoc-206		SAMN07711046	EtdFoc-206		Cicer arietinum	Ethiopia: Klteno	2015	Scaffold	Illumina	60568093	5960	20499
GCA_011421355.1	Fusarium oxysporum	EtdFoc-191		SAMN07711034	EtdFoc-191		Cicer arietinum	Ethiopia: Qaqa	2015	Scaffold	Illumina	58134561	1766	347916
GCA_011421365.1	Fusarium oxysporum	EtdFoc-192		SAMN07711035	EtdFoc-192		Cicer arietinum	Ethiopia: Worq Amba	2015	Scaffold	Illumina	58312822	2025	136884
GCA_011421375.1	Fusarium oxysporum	EtdFoc-189		SAMN07711031	EtdFoc-189		Cicer arietinum	Ethiopia: Seret	2015	Scaffold	Illumina	58631107	3389	53124
GCA_011424605.1	Fusarium oxysporum	EtdFoc-89		SAMN07711123	EtdFoc-89		Cicer arietinum	Ethiopia: Shankra	2015	Scaffold	Illumina	56701176	30595	2632
GCA_011424625.1	Fusarium oxysporum	EtdFoc-20		SAMN07711042	EtdFoc-20		Cicer arietinum	Ethiopia: Kemer	2015	Scaffold	Illumina	52093814	26034	2850
GCA_011426335.1	Fusarium oxysporum	EtdFoc-182		SAMN07711025	EtdFoc-182		Cicer arietinum	Ethiopia: Chefemeda	2015	Scaffold	Illumina	52926027	29264	2547
GCA_011426355.1	Fusarium oxysporum	EtdFoc-176		SAMN07711020	EtdFoc-176		Cicer arietinum	Ethiopia: Adadi	2015	Scaffold	Illumina	55175956	25063	3208
GCA_011428085.1	Fusarium oxysporum	EtdFoc-143		SAMN07711002	EtdFoc-143		Cicer arietinum	Ethiopia: Korkoro Amba	2015	Scaffold	Illumina	52066794	28477	2563
GCA_013347355.2	Fusarium oxysporum	Fus187		SAMN11520597	Fus187		Spinacia oleracea	USA: Skagit County, Washington	2008	Chromosome	Oxford Nanopore MinION	50445380	13	4294537
GCA_013347365.1	Fusarium oxysporum	Fus191		SAMN11520598	Fus191		Spinacia oleracea	USA: Skagit County, Washington	2008	Scaffold	Illumina HiSeq	47532730	398	321941
GCA_013347375.1	Fusarium oxysporum	Fus259		SAMN11520600	Fus259		not applicable	USA: Skagit County, Washington	2009	Scaffold	Illumina HiSeq	49245682	829	307397
GCA_013347385.1	Fusarium oxysporum	Fus250		SAMN11520599	Fus250		Spinacia oleracea	USA: Skagit County, Washington	2009	Scaffold	Illumina HiSeq	50016585	1150	272816
GCA_013347595.1	Fusarium oxysporum	Fus017		SAMN11520592	Fus017		Spinacia oleracea	USA: Skagit County, Washington	2007	Scaffold	Illumina HiSeq	51327429	1536	243131
GCA_013363075.1	Fusarium oxysporum	NRRL 39464		SAMN13683627	NRRL 39464		Dianthus caryophyllus	South Korea	missing	Scaffold	Illumina MiSeq	46979197	5301	18508
GCA_014324425.1	Fusarium oxysporum		Fo69	SAMN13221289		Fo69	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	53255279	2062	331277
GCA_014324435.1	Fusarium oxysporum		Fo75	SAMN13221291		Fo75	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	49824212	1188	650646
GCA_014324445.1	Fusarium oxysporum		Fo47	SAMN13221292		Fo47	missing	France	missing	Contig	PacBio	50246232	60	2117445
GCA_014324455.1	Fusarium oxysporum		Fo63	SAMN13221286		Fo63	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	52317076	2181	363356
GCA_014324465.1	Fusarium oxysporum		Fo65	SAMN13221287		Fo65	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	53588382	3311	293055
GCA_014324495.1	Fusarium oxysporum		Fo58	SAMN13221284		Fo58	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	49814708	1057	814052
GCA_014324505.1	Fusarium oxysporum		Fo57	SAMN13221283		Fo57	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	49874414	1253	703365
GCA_014324555.1	Fusarium oxysporum		Fo54	SAMN13221282		Fo54	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	50816590	1636	658125
GCA_014324575.1	Fusarium oxysporum		Fo53	SAMN13221281		Fo53	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	50378143	1934	413078
GCA_014324585.1	Fusarium oxysporum		Fo49	SAMN13221279		Fo49	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	51488770	1940	414339
GCA_014324595.1	Fusarium oxysporum		Fo52	SAMN13221280		Fo52	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	51202205	2234	405099
GCA_014324625.1	Fusarium oxysporum		Fo48	SAMN13221278		Fo48	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	51516727	1801	536859
GCA_014324645.1	Fusarium oxysporum		Fo46	SAMN13221277		Fo46	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	50681299	1503	568569
GCA_014324665.1	Fusarium oxysporum		Fo45	SAMN13221276		Fo45	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	50461054	2118	380589
GCA_014324675.1	Fusarium oxysporum		Fo35	SAMN13221272		Fo35	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	48106679	958	692818
GCA_014324715.1	Fusarium oxysporum		Fo44	SAMN13221275		Fo44	Festuca rubra	Spain	missing	Scaffold	Illumina HiSeq	49289536	1410	594758
GCA_014324745.1	Fusarium oxysporum		Fo74	SAMN13221290		Fo74	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	52538187	2896	272948
GCA_014324755.1	Fusarium oxysporum		Fo68	SAMN13221288		Fo68	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	51504407	1957	433533
GCA_014324765.1	Fusarium oxysporum		Fo59	SAMN13221285		Fo59	Solanum lycopersicum	USA	missing	Scaffold	Illumina HiSeq	48804255	964	1308010
